PKDATAROWID,FLGEXSDE,FLGEXKEL,FLGEXAUC,FLGEXST,NDOSEI,PKPCOM,MIDPNTN,MIDPNTA,MIDPNTNU,MIDPNTAU,RATEN,RATEA,RATENU,RATEAU
33239058,0,0,0,0,1,,,,,,,,,
33239657,0,1,0,0,1,,,,,,,,,
33239658,0,1,0,0,1,,,,,,,,,
33239659,0,1,0,0,1,,,,,,,,,
33239661,0,1,0,0,1,,,,,,,,,
33239663,0,1,0,0,1,,,,,,,,,
33239665,0,1,0,0,1,,,,,,,,,
33239666,0,1,0,0,1,,,,,,,,,
33239667,0,1,0,0,1,,,,,,,,,
33239668,0,1,0,0,1,,,,,,,,,
33239669,0,1,0,0,1,,,,,,,,,
33239670,0,1,0,0,1,,,,,,,,,
33239671,0,1,0,0,1,,,,,,,,,
33239672,0,1,0,0,1,,,,,,,,,
33239673,0,1,0,0,1,,,,,,,,,
33239674,0,0,0,0,1,,,,,,,,,
33239675,0,0,0,0,1,,,,,,,,,
33239676,0,0,0,0,1,,,,,,,,,
33239059,0,1,0,0,1,,,,,,,,,
33239060,0,1,0,0,1,,,,,,,,,
33239061,0,1,0,0,1,,,,,,,,,
33239063,0,1,0,0,1,,,,,,,,,
33239065,0,1,0,0,1,,,,,,,,,
33239067,0,1,0,0,1,,,,,,,,,
33239068,0,1,0,0,1,,,,,,,,,
33239069,0,1,0,0,1,,,,,,,,,
33239070,0,1,0,0,1,,,,,,,,,
33239071,0,1,0,0,1,,,,,,,,,
33239072,0,1,0,0,1,,,,,,,,,
33239073,0,0,0,0,1,,,,,,,,,
33239074,0,0,0,0,1,,,,,,,,,
33239075,0,0,0,0,1,,,,,,,,,
33239076,0,0,0,0,1,,,,,,,,,
33239077,0,0,0,0,1,,,,,,,,,
33239078,0,0,0,0,1,,,,,,,,,
33239637,0,1,0,0,1,,,,,,,,,
33239638,0,1,0,0,1,,,,,,,,,
33239639,0,1,0,0,1,,,,,,,,,
33239641,0,1,0,0,1,,,,,,,,,
33239643,0,1,0,0,1,,,,,,,,,
33239645,0,1,0,0,1,,,,,,,,,
33239646,0,1,0,0,1,,,,,,,,,
33239647,0,1,0,0,1,,,,,,,,,
33239648,0,1,0,0,1,,,,,,,,,
33239649,0,1,0,0,1,,,,,,,,,
33239650,0,1,0,0,1,,,,,,,,,
33239651,0,1,0,0,1,,,,,,,,,
33239652,0,1,0,0,1,,,,,,,,,
33239653,0,1,0,0,1,,,,,,,,,
33239654,0,0,0,0,1,,,,,,,,,
33239655,0,0,0,0,1,,,,,,,,,
33239656,0,0,0,0,1,,,,,,,,,
33239517,0,1,0,0,1,,,,,,,,,
33239518,0,1,0,0,1,,,,,,,,,
33239519,0,1,0,0,1,,,,,,,,,
33239521,0,1,0,0,1,,,,,,,,,
33239523,0,1,0,0,1,,,,,,,,,
33239525,0,1,0,0,1,,,,,,,,,
33239526,0,1,0,0,1,,,,,,,,,
33239527,0,1,0,0,1,,,,,,,,,
33239528,0,1,0,0,1,,,,,,,,,
33239529,0,1,0,0,1,,,,,,,,,
33239530,0,1,0,0,1,,,,,,,,,
33239531,0,1,0,0,1,,,,,,,,,
33239532,0,1,0,0,1,,,,,,,,,
33239533,0,0,0,0,1,,,,,,,,,
33239534,0,0,0,0,1,,,,,,,,,
33239535,0,0,0,0,1,,,,,,,,,
33239536,0,0,0,0,1,,,,,,,,,
33239617,0,1,0,0,1,,,,,,,,,
33239618,0,1,0,0,1,,,,,,,,,
33239619,0,1,0,0,1,,,,,,,,,
33239623,0,1,0,0,1,,,,,,,,,
33239625,0,1,0,0,1,,,,,,,,,
33239626,0,1,0,0,1,,,,,,,,,
33239627,0,1,0,0,1,,,,,,,,,
33239628,0,1,0,0,1,,,,,,,,,
33239629,0,1,0,0,1,,,,,,,,,
33239630,0,1,0,0,1,,,,,,,,,
33239631,0,1,0,0,1,,,,,,,,,
33239632,0,1,0,0,1,,,,,,,,,
33239633,0,1,0,0,1,,,,,,,,,
33239634,0,0,0,0,1,,,,,,,,,
33239635,0,0,0,0,1,,,,,,,,,
33239636,0,0,0,0,1,,,,,,,,,
33238999,0,1,0,0,1,,,,,,,,,
33239000,0,1,0,0,1,,,,,,,,,
33239001,0,1,0,0,1,,,,,,,,,
33239003,0,1,0,0,1,,,,,,,,,
33239005,0,1,0,0,1,,,,,,,,,
33239007,0,1,0,0,1,,,,,,,,,
33239008,0,1,0,0,1,,,,,,,,,
33239009,0,1,0,0,1,,,,,,,,,
33239010,0,1,0,0,1,,,,,,,,,
33239011,0,1,0,0,1,,,,,,,,,
33239012,0,1,0,0,1,,,,,,,,,
33239013,0,0,0,0,1,,,,,,,,,
33239014,0,0,0,0,1,,,,,,,,,
33239015,0,0,0,0,1,,,,,,,,,
33239016,0,0,0,0,1,,,,,,,,,
33239017,0,0,0,0,1,,,,,,,,,
33239018,0,0,0,0,1,,,,,,,,,
33239597,0,1,0,0,1,,,,,,,,,
33239598,0,1,0,0,1,,,,,,,,,
33239599,0,1,0,0,1,,,,,,,,,
33239601,0,1,0,0,1,,,,,,,,,
33239603,0,1,0,0,1,,,,,,,,,
33239605,0,1,0,0,1,,,,,,,,,
33239606,0,1,0,0,1,,,,,,,,,
33239607,0,1,0,0,1,,,,,,,,,
33239608,0,1,0,0,1,,,,,,,,,
33239609,0,1,0,0,1,,,,,,,,,
33239610,0,0,0,0,1,,,,,,,,,
33239611,0,0,0,0,1,,,,,,,,,
33239612,0,0,0,0,1,,,,,,,,,
33239613,0,0,0,0,1,,,,,,,,,
33239614,0,0,0,0,1,,,,,,,,,
33239615,0,0,0,0,1,,,,,,,,,
33239616,0,0,0,0,1,,,,,,,,,
33239279,0,1,0,0,1,,,,,,,,,
33239280,0,1,0,0,1,,,,,,,,,
33239281,0,1,0,0,1,,,,,,,,,
33239283,0,1,0,0,1,,,,,,,,,
33239285,0,1,0,0,1,,,,,,,,,
33239287,0,1,0,0,1,,,,,,,,,
33239288,0,1,0,0,1,,,,,,,,,
33239289,0,1,0,0,1,,,,,,,,,
33239290,0,1,0,0,1,,,,,,,,,
33239291,0,1,0,0,1,,,,,,,,,
33239292,0,1,0,0,1,,,,,,,,,
33239293,0,1,0,0,1,,,,,,,,,
33239294,0,1,0,0,1,,,,,,,,,
33239295,0,0,0,0,1,,,,,,,,,
33239296,0,0,0,0,1,,,,,,,,,
33239297,0,0,0,0,1,,,,,,,,,
33239298,0,0,0,0,1,,,,,,,,,
33239199,0,1,0,0,1,,,,,,,,,
33239200,0,1,0,0,1,,,,,,,,,
33239201,0,1,0,0,1,,,,,,,,,
33239203,0,1,0,0,1,,,,,,,,,
33239205,0,1,0,0,1,,,,,,,,,
33239207,0,1,0,0,1,,,,,,,,,
33239208,0,1,0,0,1,,,,,,,,,
33239209,0,1,0,0,1,,,,,,,,,
33239210,0,1,0,0,1,,,,,,,,,
33239211,0,1,0,0,1,,,,,,,,,
33239212,0,1,0,0,1,,,,,,,,,
33239213,0,1,0,0,1,,,,,,,,,
33239214,0,1,0,0,1,,,,,,,,,
33239215,0,0,0,0,1,,,,,,,,,
33239216,0,0,0,0,1,,,,,,,,,
33239217,0,0,0,0,1,,,,,,,,,
33239218,0,0,0,0,1,,,,,,,,,
33239677,0,1,0,0,1,,,,,,,,,
33239678,0,1,0,0,1,,,,,,,,,
